REALPROP,FSNETINC,TANF_IND,RAWERND,FSTOTDE2,SHELDED,FSTOTDED,FSSLTDE2,FSGA,FSWAGES,LIQRESOR,FSERNDE2,FSDIS,HWGT,FSSLTDED,FSASSET,CERTHHSZ,FSSSI,FSNELDER,WRK_POOR,FSERNDED,FSTANF,FSUNEARN,RAWNET,TPOV,FSUSIZE,FSEARN,FSSTDDE2,FSNONCIT,FSGRINC,CAT_ELIG,FSVEHAST,VEHICLEA
0.0,405.0,0.0,0.0,198.0,65.0,198.0,64.0,0.0,0.0,0.0,0.0,0.0,844.2366646014949,64.0,0.0,1.0,603.0,1.0,0.0,0.0,0.0,603.0,405.0,74.0,1.0,0.0,198.0,0.0,603.0,1.0,0.0,1.0
0.0,304.0,0.0,0.0,299.0,165.0,299.0,165.0,0.0,0.0,948.0,0.0,1.0,810.5480575611468,165.0,948.0,1.0,603.0,0.0,0.0,0.0,0.0,603.0,303.0,74.0,1.0,0.0,201.0,0.0,603.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,151.0,1.0,0.0,238.0,104.0,238.0,104.0,0.0,0.0,0.0,0.0,0.0,754.3041129423528,104.0,0.0,2.0,0.0,0.0,0.0,0.0,389.0,389.0,150.0,35.0,2.0,0.0,201.0,0.0,389.0,1.0,0.0,1.0
0.0,808.0,0.0,258.0,482.0,85.0,482.0,85.0,0.0,1290.0,403.0,343.0,0.0,981.9624818750046,85.0,403.0,4.0,0.0,0.0,1.0,258.0,0.0,0.0,807.0,77.0,4.0,1290.0,208.0,0.0,1290.0,0.0,0.0,1.0
0.0,495.0,0.0,223.0,773.0,417.0,773.0,417.0,0.0,1113.0,0.0,274.0,0.0,866.5032035168679,417.0,0.0,3.0,0.0,0.0,1.0,222.0,0.0,155.0,495.0,92.0,3.0,1113.0,142.0,0.0,1268.0,0.0,0.0,1.0
0.0,0.0,0.0,162.0,812.0,417.0,842.0,387.0,0.0,812.0,0.0,212.0,0.0,711.655694960853,417.0,0.0,1.0,0.0,0.0,1.0,162.0,0.0,0.0,0.0,99.0,1.0,812.0,170.0,0.0,812.0,0.0,0.0,1.0
0.0,549.0,0.0,118.0,492.0,229.0,492.0,228.0,0.0,589.0,0.0,175.0,1.0,869.2314375616089,228.0,0.0,1.0,95.0,0.0,1.0,117.0,0.0,452.0,547.0,127.0,1.0,589.0,201.0,0.0,1041.0,1.0,0.0,1.0
0.0,255.0,1.0,0.0,134.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,788.258696840136,0.0,0.0,3.0,0.0,0.0,0.0,0.0,389.0,389.0,255.0,28.0,3.0,0.0,134.0,0.0,389.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,126.0,0.0,170.0,726.0,417.0,726.0,417.0,0.0,852.0,0.0,170.0,0.0,760.2697129613572,417.0,0.0,4.0,0.0,0.0,1.0,170.0,0.0,0.0,125.0,51.0,4.0,852.0,139.0,2.0,852.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,170.0,417.0,611.0,0.0,0.0,0.0,0.0,0.0,0.0,704.5805438707989,417.0,0.0,3.0,0.0,0.0,0.0,0.0,120.0,170.0,0.0,12.0,3.0,0.0,0.0,0.0,170.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,417.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0,747.4949387192787,417.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,279.0,1.0,103.0,351.0,115.0,351.0,114.0,0.0,516.0,0.0,154.0,0.0,796.6865540457782,114.0,0.0,2.0,0.0,0.0,1.0,103.0,114.0,114.0,278.0,57.0,2.0,516.0,201.0,0.0,630.0,1.0,0.0,1.0
0.0,97.0,0.0,0.0,134.0,0.0,134.0,0.0,231.0,0.0,0.0,0.0,0.0,743.1708434696594,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,231.0,97.0,28.0,1.0,0.0,134.0,0.0,231.0,1.0,0.0,1.0
0.0,574.0,1.0,183.0,652.0,164.0,652.0,163.0,0.0,916.0,0.0,274.0,0.0,892.3187288676908,163.0,0.0,2.0,0.0,0.0,1.0,183.0,310.0,310.0,573.0,111.0,2.0,916.0,201.0,0.0,1226.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,417.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,705.4012962642042,417.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,678.0,0.0,203.0,337.0,0.0,337.0,0.0,0.0,1015.0,0.0,203.0,0.0,926.0073359137072,0.0,0.0,2.0,0.0,0.0,1.0,203.0,0.0,0.0,678.0,92.0,2.0,1015.0,134.0,0.0,1015.0,0.0,0.0,1.0
0.0,97.0,0.0,0.0,134.0,0.0,134.0,0.0,231.0,0.0,0.0,0.0,0.0,743.1708434696594,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,231.0,97.0,28.0,1.0,0.0,134.0,0.0,231.0,1.0,0.0,1.0
0.0,380.0,0.0,0.0,248.0,114.0,248.0,114.0,0.0,0.0,0.0,0.0,0.0,835.5428305209961,114.0,0.0,1.0,427.0,1.0,0.0,0.0,0.0,628.0,380.0,77.0,1.0,0.0,201.0,0.0,628.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0,389.0,322.0,456.0,255.0,0.0,0.0,0.0,0.0,0.0,704.5805438707989,322.0,0.0,3.0,0.0,0.0,0.0,0.0,389.0,389.0,0.0,28.0,3.0,0.0,134.0,0.0,389.0,1.0,0.0,1.0
0.0,308.0,0.0,0.0,191.0,52.0,191.0,52.0,0.0,0.0,0.0,0.0,1.0,818.9530929645381,52.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,499.0,308.0,30.0,4.0,0.0,191.0,0.0,499.0,0.0,0.0,1.0
